"","O_emp","C_emp","E_emp","A_emp","N_emp","ML3_item_distilroberta","ML5_item_distilroberta","ML2_item_distilroberta","ML4_item_distilroberta","ML1_item_distilroberta","ML4_item_miniLM","ML5_item_miniLM","ML3_item_miniLM","ML2_item_miniLM","ML1_item_miniLM","ML3_item_mpnet","ML1_item_mpnet","ML4_item_mpnet","ML5_item_mpnet","ML2_item_mpnet","ML5_item_t5","ML4_item_t5","ML2_item_t5","ML3_item_t5","ML1_item_t5","ML5_item_psych","ML3_item_psych","ML2_item_psych","ML4_item_psych","ML1_item_psych","ML3_item_use_dan","ML2_item_use_dan","ML5_item_use_dan","ML1_item_use_dan","ML4_item_use_dan","ML3_item_avg_trans","ML5_item_avg_trans","ML2_item_avg_trans","ML1_item_avg_trans","ML4_item_avg_trans"
"Self.Discipline",NA,NA,NA,NA,NA,0.049,-0.317,0.429,0.263,0.008,0.43,0.012,0.171,0.278,-0.066,0.276,0.021,0.046,-0.296,0.447,-0.479,0.192,0.3,0.43,0.102,-0.368,0.148,0.263,0.045,-0.199,0.176,0.439,-0.258,0.288,0.028,0.194,-0.379,0.345,0.085,0.105
"Cautiousness",NA,NA,NA,NA,NA,-0.475,-0.199,0.466,0.397,0.019,0.39,-0.254,-0.359,-0.085,0.252,-0.345,0.12,0.384,-0.344,-0.027,-0.168,0.782,0.121,-0.333,0.109,-0.057,-0.527,0.585,0.149,-0.175,-0.657,0.395,-0.216,0.035,0.061,-0.646,-0.186,0.404,0.1,0.416
"Friendliness",NA,NA,NA,NA,NA,0.544,-0.346,0.094,0.15,0.319,-0.029,-0.055,0.325,0.502,0.489,0.899,-0.103,0.384,0.048,0.064,-0.281,-0.149,0.011,0.467,0.416,-0.069,0.695,0.094,0.475,0.344,0.51,0.252,-0.339,0.015,0.143,0.526,-0.196,0.19,0.402,0.142
"Gregariousness",NA,NA,NA,NA,NA,0.628,0.163,-0.108,0.306,0.435,-0.002,0.373,-0.027,-0.302,0.332,0.442,0.103,0.16,-0.113,-0.099,-0.1,0.104,0.007,0.572,0.396,-0.182,0.454,-0.053,0.188,0.276,0.218,0.166,-0.049,0.343,0.039,0.406,-0.103,-0.016,0.449,0.018
"Assertiveness",NA,NA,NA,NA,NA,0.649,0.02,0.151,-0.153,-0.103,-0.103,-0.509,0.721,0.031,0.093,0.551,0.018,-0.287,-0.129,-0.158,-0.133,0.077,-0.068,0.685,0.308,-0.299,0.22,0.147,-0.163,0.21,0.406,0.027,0.031,0.562,-0.131,0.274,-0.215,0.094,0.366,-0.389
"Activity.Level",NA,NA,NA,NA,NA,0.159,0.222,0.275,0.301,0.024,0.123,-0.162,-0.35,0.153,-0.408,0.075,0.156,-0.092,-0.055,-0.279,0.063,0.419,0.153,0.309,-0.054,-0.071,0.19,0.323,-0.077,-0.066,-0.151,-0.223,0.232,0.122,-0.03,-0.113,-0.012,0.152,0.132,-0.093
"Excitement.Seeking",NA,NA,NA,NA,NA,0.357,0.076,-0.157,-0.458,0.449,-0.414,0.222,0.258,0.303,-0.191,0.195,0.25,-0.277,0.306,0.411,0.168,-0.662,0.187,0.346,0.075,-0.151,0.779,-0.314,-0.084,0.091,0.645,-0.142,0.375,-0.003,-0.205,0.792,0.198,-0.12,0.066,-0.16
"Cheerfulness",NA,NA,NA,NA,NA,0.371,0.037,-0.105,-0.258,0.696,-0.425,0.358,0.248,0.24,-0.105,0.365,0.249,-0.083,0.434,0.301,0.139,-0.528,0.32,0.312,0.009,0.287,0.641,0.203,0.28,0.122,0.627,0.117,0.148,0.103,-0.161,0.594,0.27,0.152,0.086,-0.008
"Trust",NA,NA,NA,NA,NA,0.059,-0.421,0.406,-0.146,0.163,0.002,0.536,0.345,0.25,-0.217,0.345,-0.054,0.027,-0.27,0.487,-0.226,-0.236,0.648,0.124,-0.019,-0.145,0.439,0.337,0.185,0.017,-0.031,0.63,0.031,-0.351,0.381,0.282,-0.232,0.567,-0.2,0.063
"Morality",NA,NA,NA,NA,NA,-0.522,-0.094,0.088,0.64,0.084,0.43,-0.271,-0.376,-0.006,0.237,-0.333,0.095,0.77,-0.118,0.048,-0.192,0.521,-0.113,-0.405,0.212,0.166,-0.022,0.373,0.846,-0.09,-0.32,0.013,-0.51,-0.157,0.485,-0.39,-0.083,0.112,0.131,0.654
"Altruism",NA,NA,NA,NA,NA,0.367,-0.219,0.27,0.204,0.313,0.237,0.182,-0.08,0.417,0.228,0.02,0.483,0.393,-0.103,0.004,-0.162,0.323,0.554,0.224,0.399,-0.022,0.453,0.28,0.54,0.137,0.175,0.092,0.082,0.191,0.571,0.212,-0.125,0.413,0.396,0.325
"Cooperation",NA,NA,NA,NA,NA,-0.165,-0.15,0.009,0.545,0.01,0.39,-0.172,-0.283,-0.328,0.21,-0.215,0.057,0.535,-0.297,0.022,-0.241,0.552,0.017,-0.46,0.117,0.094,-0.035,0.268,0.695,0.035,-0.262,-0.041,-0.327,-0.089,0.43,-0.261,-0.238,0.039,0.092,0.472
"Modesty",NA,NA,NA,NA,NA,-0.126,-0.126,-0.563,0.066,-0.314,0.255,-0.497,-0.251,-0.136,0.147,-0.35,-0.366,0.139,0.094,-0.335,-0.199,0.048,-0.475,-0.45,-0.069,-0.017,-0.082,-0.041,0.401,-0.199,-0.05,-0.35,-0.383,-0.146,-0.005,-0.231,-0.088,-0.431,-0.106,0.196
"Sympathy",NA,NA,NA,NA,NA,0.239,0.021,0.032,0.31,0.268,0.281,-0.37,-0.239,0.057,0.336,0.23,0.522,0.27,0.052,-0.074,-0.004,0.485,-0.049,0.07,0.535,0.266,0.17,-0.187,0.484,0.444,0.227,-0.014,-0.422,0.338,0.298,0.131,0.005,-0.053,0.65,0.286
"Anxiety",NA,NA,NA,NA,NA,-0.238,0.664,0.181,-0.337,-0.083,0.013,-0.133,0.147,0.576,0.274,-0.087,0.191,-0.211,0.477,-0.402,0.826,0.16,-0.174,-0.061,0.163,0.693,-0.335,-0.109,0.118,0.047,0.003,0.079,0.53,0.04,-0.318,-0.445,0.798,0.03,0.335,-0.071
"Anger",NA,NA,NA,NA,NA,0.257,0.572,-0.143,-0.084,0.076,-0.376,0.143,0.227,-0.344,0.354,0.411,0.056,-0.072,0.654,-0.574,0.816,0.079,-0.427,0.103,0.097,0.436,-0.118,-0.166,-0.1,-0.057,0.068,0.211,-0.012,0.032,-0.058,-0.07,0.599,-0.296,0.328,-0.248
"Depression",NA,NA,NA,NA,NA,-0.045,0.553,-0.212,-0.439,0.105,-0.496,0.189,0.165,0.206,-0.299,0.216,-0.112,-0.35,0.67,-0.295,0.572,-0.46,0.16,-0.039,-0.125,0.838,-0.033,0.138,0.071,0.013,0.258,-0.401,0.389,-0.402,-0.182,0.026,0.588,-0.056,-0.165,-0.28
"Self.Consciousness",NA,NA,NA,NA,NA,-0.202,0.597,-0.058,-0.515,-0.183,-0.351,0.337,0.228,0.162,-0.264,-0.253,-0.018,-0.425,0.365,-0.13,0.744,-0.265,0.158,-0.141,-0.048,0.717,-0.151,-0.006,0.2,0.028,-0.149,-0.154,0.713,-0.13,-0.266,-0.21,0.642,0.002,-0.156,-0.259
"Immoderation",NA,NA,NA,NA,NA,0.29,0.473,-0.327,0.222,0.394,0.362,0.325,-0.098,0.368,0.04,0.187,0.373,0.221,0.591,-0.391,0.859,-0.036,-0.292,-0.01,0.437,0.437,-0.085,-0.297,0.002,0.313,0.133,0.119,0.254,0.356,-0.314,0.055,0.616,-0.239,0.482,0.065
"Vulnerability",NA,NA,NA,NA,NA,-0.022,0.58,-0.441,0.205,0.246,0.188,0.499,-0.342,-0.047,0.017,0.059,0.019,0.202,0.805,-0.472,0.721,-0.183,-0.383,-0.276,0.185,0.732,-0.232,-0.291,0.226,0.096,0.026,-0.202,0.247,-0.001,-0.189,-0.112,0.706,-0.394,0.174,0.16
