"","C_emp","E_emp","X_emp","A_emp","O_emp","H_emp","E_distilrobertaA_distilroberta","O_distilroberta","H_distilroberta","X_distilroberta","C_distilroberta","ML2_sent_distilroberta","C_miniLM","O_miniLM","X_miniLM","H_miniLM","A_miniLM","E_miniLM","C_mpnet","X_mpnet","A_mpnet","H_mpnet","O_mpnet","E_mpnet","A_t5","O_t5","C_t5","H_t5","E_t5X_t5","ML2_sent_t5","A_psych","H_psych","C_psych","O_psych","X_psych","E_psych","A_use_dan","C_use_dan","H_use_dan","X_use_danO_use_dan","E_use_dan","ML3_sent_use_dan","X_avg_trans","C_avg_trans","A_avg_trans","H_avg_trans","O_avg_trans","E_avg_trans"
"Soci",0.237,0.155,0.29,0.154,-0.053,0.113,0.238,0.229,0.191,0.377,-0.081,0.124,-0.015,0.06,0.374,0.22,0.179,0.189,-0.056,0.275,0.257,0.207,0.245,0.144,0.243,0.179,-0.125,0.232,0.319,0.29,0.011,0.115,0.254,0.508,0.273,0.118,0.018,0.016,0.41,0.248,0.127,0.412,0.429,-0.002,0.179,0.137,0.245,0.04
"Live",0.107,0.102,0.445,-0.011,0.112,0.265,-0.08,-0.051,0.22,0.523,0.117,0.055,0.097,-0.08,0.874,-0.208,0.233,0.073,0.09,0.561,0.101,-0.216,0.046,0.265,-0.083,-0.107,0.255,0.04,0.687,0.42,-0.152,-0.022,0.405,0.322,0.427,-0.125,0.002,0.037,0.181,0.243,0.308,0.23,0.6,0.207,-0.07,-0.093,0.15,0.072
"Forg",0.078,-0.004,0.286,0.161,-0.006,0.162,0.845,-0.003,0.12,-0.207,0.132,0.3,-0.198,-0.065,0.262,0.378,0.509,0.129,0.014,-0.201,0.686,0.409,-0.154,0.3,0.719,-0.075,0.15,0.155,-0.091,0.137,0.627,-0.01,0.142,-0.032,-0.006,0.488,0.966,-0.128,0.195,-0.408,-0.09,0.372,-0.157,0.146,0.634,0.345,-0.131,0.169
"Gent",0.077,0.42,0.042,0.354,0.148,0.082,0.695,-0.089,0.06,0.215,0.024,0.327,0.07,0.143,0.017,0.335,0.354,0.094,0.12,0.301,0.689,0.169,-0.308,0.054,0.861,0.014,0.035,-0.027,0.001,0.185,0.749,0.051,0.158,-0.206,0.077,0.349,0.634,0.019,0.089,-0.004,0.182,0.069,0.094,0.088,0.681,0.17,-0.241,0.247
"Flex",0.123,0.024,0.335,0.05,0.204,0.379,0.637,-0.02,0.087,0.195,-0.039,0.398,0.076,0.06,0.162,0.2,0.367,0.147,0.098,0.352,0.664,0.053,-0.291,0.173,0.816,0,0.029,0.134,-0.061,0.104,0.654,0.052,0.189,-0.039,0.03,0.348,0.616,-0.026,0.034,0.108,0.318,0.009,0.158,0.062,0.631,0.162,-0.214,0.257
"Pati",0.397,0.064,0.211,0.388,0.1,-0.086,0.543,-0.042,-0.223,0.363,0.29,0.318,-0.006,-0.169,0.355,-0.254,0.674,0.401,0.163,0.016,0.505,-0.262,0.035,0.575,0.801,-0.067,0.183,-0.397,0.237,0.405,0.752,-0.227,0.231,0.175,-0.016,0.329,0.638,0.099,-0.281,-0.104,0.464,-0.001,0.161,0.184,0.646,-0.356,-0.107,0.532
"Orga",0.385,-0.217,-0.065,0.254,0.17,0.418,0.183,-0.178,0.064,0.009,0.793,-0.074,0.853,-0.148,0.281,0.015,-0.141,0.128,0.698,-0.025,-0.054,0.13,0.24,-0.063,0.007,-0.101,0.976,0.104,-0.095,0.034,0.118,0.039,0.811,0.007,0.193,-0.152,-0.134,1.054,0.096,-0.132,-0.131,-0.256,-0.007,0.848,0.152,0.009,0.027,-0.141
"Dili",0.286,0.161,0.149,0.141,0.104,0.197,0.063,-0.203,0.244,0.074,0.704,-0.05,0.884,-0.151,0.15,0.013,0.02,0.072,0.674,0.236,0.217,-0.026,-0.188,-0.172,-0.101,-0.202,0.763,0.267,0.186,0.117,0.193,0.145,0.978,-0.139,0.059,-0.277,-0.157,0.522,0.24,0.213,-0.026,0.012,0.076,0.782,0.195,0.085,-0.106,-0.121
"Perf",0.591,-0.085,0.107,0.279,0.247,-0.259,0.066,0.077,0.202,-0.129,0.7,-0.128,0.931,0.243,-0.013,0.047,-0.075,-0.146,1.025,-0.325,0.233,0.075,0.169,-0.282,0.199,-0.02,0.799,0.21,-0.279,-0.001,-0.012,-0.12,0.603,0.134,0.498,-0.185,0.003,0.471,0.178,0.02,0.114,0.1,-0.025,0.938,0.048,0.105,0.146,-0.39
"Prud",0.265,0.261,0.062,-0.01,0.246,0.145,-0.05,0.193,0.307,-0.355,0.597,0.46,0.667,0.084,-0.304,0.223,0.126,0.205,0.528,0.023,-0.061,0.359,-0.053,0.225,0.209,0.186,0.508,0.184,-0.076,-0.091,0.23,0.308,0.497,-0.142,-0.09,0.226,0.146,0.484,0.198,0.025,0.059,-0.152,-0.134,0.482,-0.002,0.42,-0.009,0.241
"AesA",0.436,0.276,-0.084,-0.067,0.349,0.009,0.028,0.952,-0.059,-0.142,0.01,-0.099,-0.143,0.876,0.001,0.044,-0.102,0.318,-0.073,-0.02,-0.022,0.129,0.713,0.323,-0.116,0.916,-0.092,0.092,-0.166,0.4,-0.009,-0.039,0.056,0.851,0.071,0.343,-0.16,0.122,0.111,0.321,0.347,0.323,-0.185,-0.008,-0.067,0.06,0.99,0.223
"Inqu",0.052,0.159,0.217,0.148,0.476,0.293,-0.298,0.814,-0.056,0.251,-0.026,0.181,-0.061,0.966,0.021,0.031,-0.178,0.21,0.107,0.228,-0.225,0.115,0.667,0.19,-0.024,0.936,-0.014,-0.025,-0.054,0.158,-0.291,0.008,-0.049,0.787,0.416,0.333,-0.102,-0.09,0.125,0.605,0.142,0.551,0.256,0.066,-0.359,0.048,0.792,0.165
"Crea",0.177,0.125,0.149,0.03,0.291,0.239,-0.2,0.539,0.066,0.229,0.058,0.451,0.403,0.579,-0.031,0.009,0.002,0.036,0.298,0.14,-0.258,0.092,0.563,0.237,-0.099,0.712,0.057,-0.088,0.362,0.071,-0.136,-0.16,0.244,0.446,0.571,0.077,0.023,0.09,-0.088,0.607,0.185,0.226,0.466,0.21,-0.354,0.081,0.448,0.072
"Unco",0.095,-0.066,0.199,0.294,0.066,0.372,0.105,0.447,0.243,0.214,-0.11,0.328,-0.167,0.308,0.055,0.395,0.24,0.176,-0.112,0.276,-0.163,0.429,0.636,0.016,0.063,0.699,-0.053,0.314,-0.026,-0.069,0.331,0.342,-0.121,0.281,0.246,0.364,0.018,0.18,0.237,0.431,0.036,0.212,0.172,-0.156,0.044,0.387,0.386,0.229
