0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.25328878,0.33945867,0.34879282,0.41965824,0.3662582,0.2678743,0.41248736,0.3003369,0.3481373,0.33036932,0.32319164,0.24766551,0.46617836,0.9999997,0.5634837,0.5229312,0.4099149,0.33606574,0.32493094,0.41616607,0.40566158,0.34948266,0.5126703,0.42691657
0.4815473,0.4512197,0.59795815,0.48408225,0.36977676,0.28378975,0.3440224,0.2574577,0.34869713,0.4592887,0.2691439,0.34492397,0.34969616,0.5634837,0.9999991,0.62784797,0.33318344,0.45619926,0.27015564,0.54333496,0.39996597,0.39848423,0.5525355,0.4904279
0.48911554,0.44670868,0.5405505,0.46644104,0.3756457,0.20410202,0.29033974,0.32276294,0.38117895,0.4707084,0.40890247,0.3112231,0.42177275,0.5229312,0.62784797,1.0000006,0.28891206,0.4750931,0.32147434,0.5029004,0.6031406,0.5252445,0.5994019,0.47562838
0.30407605,0.36357915,0.360211,0.43785268,0.2509898,0.27256778,0.4171351,0.26076123,0.42646858,0.26770937,0.30769938,0.5200609,0.32705802,0.4099149,0.33318344,0.28891206,1.0000004,0.38453412,0.51270545,0.37196746,0.39787892,0.22413579,0.4952619,0.4222711
0.49909434,0.34074268,0.4208738,0.45851907,0.3518537,0.2020535,0.31647035,0.51525337,0.47424495,0.27057442,0.47942704,0.35071397,0.2993961,0.33606574,0.45619926,0.4750931,0.38453412,0.99999976,0.55493957,0.59236383,0.48038357,0.4723906,0.48774266,0.48120022
0.29210562,0.29516515,0.27298173,0.41498718,0.29592395,0.29315612,0.3497959,0.36376637,0.47066006,0.13417704,0.30444953,0.36970282,0.29950622,0.32493094,0.27015564,0.32147434,0.51270545,0.55493957,0.9999995,0.44226205,0.4549604,0.33413482,0.45598656,0.49905723
0.59875244,0.4318841,0.55132794,0.4417128,0.26302648,0.30125192,0.30993557,0.41819438,0.4692998,0.43682835,0.44185218,0.31112805,0.38193256,0.41616607,0.54333496,0.5029004,0.37196746,0.59236383,0.44226205,0.9999995,0.45830223,0.4080863,0.5628838,0.5011438
0.5673836,0.47503918,0.59747684,0.6563803,0.3696007,0.3200976,0.31366515,0.33727208,0.56581,0.44551566,0.38866082,0.47881,0.36182165,0.40566158,0.39996597,0.6031406,0.39787892,0.48038357,0.4549604,0.45830223,0.9999999,0.55678576,0.7121773,0.6044786
0.3743716,0.33798635,0.40001392,0.49873877,0.5023216,0.22098498,0.27387536,0.27482834,0.4104871,0.30783018,0.40330908,0.2772949,0.34779578,0.34948266,0.39848423,0.5252445,0.22413579,0.4723906,0.33413482,0.4080863,0.55678576,1.0,0.42280647,0.42619908
0.60006416,0.5045434,0.60591143,0.624807,0.37271187,0.36849356,0.42727718,0.3799039,0.6140194,0.5515537,0.5200169,0.47305587,0.40794018,0.5126703,0.5525355,0.5994019,0.4952619,0.48774266,0.45598656,0.5628838,0.7121773,0.42280647,0.99999994,0.6213691
0.50532323,0.5137003,0.56066245,0.5822116,0.37587848,0.36014566,0.29628354,0.29840705,0.5003944,0.48509973,0.30605704,0.4460814,0.31836522,0.42691657,0.4904279,0.47562838,0.4222711,0.48120022,0.49905723,0.5011438,0.6044786,0.42619908,0.6213691,0.99999976
